na_index,msd_frac_scaled,mean_displacement_frac_scaled,max_displacement_frac_scaled,final_displacement_frac_scaled,mean_step_frac_scaled,max_step_frac_scaled,step_std_frac_scaled
0,3.3361792370512866,3.2738712859835144,0.9846201359320967,-0.05479737581168376,1.6678474806102794,0.017089127138710872,1.4786372555165792
1,0.686610483054923,0.7731262085847731,2.1298250281456585,0.20299964342283083,-1.067054055687286,-1.4316389154415163,-1.6621329819662818
2,0.03885239027678383,0.1217932087933057,0.025531125812927873,-1.7495741335403663,0.017662177302668988,-0.3699842760075666,-0.26568449939968014
3,-0.28954758982744283,-0.09344493865343423,0.5830873720801913,-0.7886450413622226,0.05791909901135649,0.17385028186406634,0.03267156778236128
4,-0.9114573419503887,-0.8446578519522481,-1.615186854493521,-1.580495188139146,-0.9083255288631958,0.6411447236114249,-0.17867696280183423
5,-0.14114125547845324,-0.06370871003635355,0.07630127610656975,0.5391330644679401,-0.7474960707060686,-1.210191444938509,-0.6906050655431365
6,-0.6962837507644789,-0.5888923441377502,-0.9978013474027884,-1.0537160260624545,-0.26831664118799264,0.6548365071547182,-0.25483256810195254
7,0.23920529287497652,0.35408982557709245,0.8347377856273105,2.364451753278952,-0.15129453733404385,-0.3655155094825141,-1.629166564568309
8,-0.7663015753685347,-0.6371884061550122,-1.0636866332267003,-0.4363343486659074,0.4551775878502676,0.05689631167838832,0.425986944459129
9,0.18604463925126036,0.10498156881821724,0.8382031523327482,1.078782326444557,-0.2979441261108975,1.6724993558639516,0.29290532544695974
10,0.4687792856651857,0.7586213358503845,0.08036477259589203,-0.13259844993387898,0.7605456612588426,1.8170134088802519,1.0556448382861978
11,-0.10943255370521916,-0.001589225276549436,0.5083099856370963,-0.566171240954268,2.461831391481229,0.7791848228543488,1.1099811290506003
12,-0.7171107791028463,-0.957735789129701,0.1717367064276853,0.29815022403327557,0.9623245802309022,-0.05123469312330409,1.805401588252611
13,-0.5056170259770961,-0.30814428869742627,-0.7996177607281931,-0.3622305969909558,0.7350772605200143,2.879150869731542,0.09400965031397383
14,-1.0582557477438124,-1.1793089276341246,-0.5185132011757961,-0.7135603232684131,1.9283899758094003,1.387454452255432,1.0390343349447586
15,-1.0067555279953622,-1.0189979779039506,-1.5567787402051436,-1.7510858646160319,0.18178561810304317,-0.8838219029472574,-0.9240780817487118
16,0.4301470601897127,0.19332344607990407,1.6023270449365647,1.4801867308769927,0.19574883365008228,0.652073921650924,1.789841397375899
17,0.9849578462734025,0.7566962192533921,1.5441405806601622,0.4171875826646033,0.5410111360109547,0.1562319539540085,0.9068993066284908
18,-1.1537089797508917,-1.1960670858007907,-1.3554956971010126,-0.26964355088459396,0.9808450564170605,0.23710733851811464,0.22245125388482473
19,0.3141522454189297,0.38355256536955296,0.22079118821512533,0.33007760928717494,0.8298154217806957,-0.5991486370569227,-1.375292742511057
20,0.17217935509730314,0.2648333126835243,0.03820423037804763,0.12462402731264031,-0.38689778666739055,0.12583605871671294,-0.06875021821230413
21,0.3131728733625707,0.20191532498004588,1.0520422004750114,1.4625723351770008,-0.5683183309280603,-0.25337512204975343,-0.4203326935054509
22,1.7651057183280348,1.7252593928536126,1.0697370980092638,-1.533831981736489,0.41257771990686387,-0.06491599668844955,-0.32015474011356604
23,-0.8534718231161471,-0.7790308671684338,-1.1865456207949996,-0.35095589244630754,-0.24231058658629903,-1.0319872525753866,0.5969523783403919
24,0.048576758769082816,0.1824708008070731,-0.11300820778312187,0.020142296021599213,-0.24610120476326428,0.2856385340513814,-0.14089491610824784
25,-0.8487234294656119,-0.8485839076052819,-0.9406953930371205,-1.5017648078230736,-0.0913069447618129,-1.7138510726195082,-1.151290598041592
26,-0.7738745059330283,-0.629677823602575,-1.1708329412955059,0.7397217143799616,0.2950794188226293,0.9652621825125862,0.6739644009667036
27,-0.4471865813904683,-0.5715724826853508,0.28674281412627456,0.06182499632780797,-0.5453110558070234,1.1561732854718676,0.6981810875458446
28,-1.3812255917039513,-1.495547826399764,-1.3771789134789894,-0.6289291475974274,0.8733983760568738,0.6518172163608974,1.903258277350087
29,-0.2617581852915787,-0.1796343158783933,-0.5656941387239721,-0.11224008727621623,0.16572121128272427,0.8910125941375793,0.02531244466711995
30,-1.62699673836507,-2.0307672003306045,-0.7905479291149579,-0.39080777203481165,-1.0932234118540756,-0.7114817554375888,-0.8010048777756431
31,-0.2219619970633372,-0.13740927059422045,-0.3194106390713662,-1.1412992999994775,0.9464756090938031,0.8139773013436266,1.6340384472761114
32,1.024686277520415,0.8624112310927926,0.7966203400569244,0.37516329363626727,-0.4225622656324712,-0.11191442728486908,-0.4894681981323115
33,1.6678748625997193,1.262312477831878,2.5523779232826658,2.1718890579480363,-1.5684625971892923,-1.791826322820044,-1.068009425038281
34,-0.5608974586893274,-0.44636709867680435,0.21752123547116395,-0.5777509865125837,0.1925991092488532,-0.6434317509109587,-0.5290920197621
35,-0.6240666531064767,-0.5058988200499119,-0.8554635193705143,0.7504117705153271,-0.30558952647483956,-0.6494877428635487,-0.08311995546422477
36,0.3326912371301061,0.6511664490886508,-0.2763434180544642,-0.4792164763229179,-2.3846829723795535,-1.292280750582545,-2.292083319247682
37,-0.751040065470117,-0.8521820574977362,-0.5672953918763565,-0.18084235853351896,-1.6019969209378266,-1.4570642538374665,-1.5439910935645456
38,1.3760443500679398,1.485448077773729,0.3336075053318811,-1.2417545765396394,1.46234166543077,-0.0840479746066251,0.08455662363743625
39,-1.2315499019869334,-1.452411283662688,-1.0528002722717735,-0.4408615456526523,-0.6389313317813738,1.2772253694404325,1.0558970991897794
40,1.746369390885481,1.695801667684121,0.5136588891520594,1.8459632337878122,-0.9490178323454512,-1.5284053071064696,-0.6681280777789755
41,0.3339897376344845,0.1948259286608952,0.738786322736037,1.1686854055842402,-0.18031267645188648,-0.927888044828513,-0.36821486698527517
42,1.6943579149490142,1.636776322194801,1.081551197791955,1.7070997114860318,1.0592510005060312,-0.4772991837078403,-0.4902330715157069
43,1.2808535974414612,1.0081087154117534,1.3563640458808952,0.052283117159590574,1.2833145443720813,0.6463616279077141,1.291096218172957
44,-0.8563643718105993,-0.7368586753940627,-1.474471237892366,-0.4480507459802202,-0.552696756379974,1.1905858536271616,0.8713080050589448
45,0.41033032503573075,0.6745996763671849,-0.28691500148934956,1.3210782072447695,-2.545114527148963,-1.0392875398589583,-1.5568086659927927
46,0.04592323283203888,0.16210510580151652,0.21029642588452585,-0.18296333774695145,-0.10187723584682384,-0.11456011046555446,-0.08437628052547239
47,-1.1023546806526758,-1.1724129726185444,-0.9632035244987136,0.15769305537478898,-0.6015950109314824,-0.32378311148416,-0.03160708974259291
